xaxis,yaxis,filename,cluster,flog
-2.420415694880391655e+01,-1.422063404260960340e+01,1.510000000000000000e+02,0.000000000000000000e+00,3.870000000000000107e+00
-2.190370418589190393e+01,-2.008405745817868038e+01,2.920000000000000000e+02,0.000000000000000000e+00,4.400000000000000355e+00
-1.734953879362153017e+01,-1.485141015433624112e+01,1.530000000000000000e+02,0.000000000000000000e+00,6.679999999999999716e+00
-2.345295354671602794e+01,-1.008654903301830963e+01,1.570000000000000000e+02,0.000000000000000000e+00,1.899999999999999911e+00
-2.111103167017915538e+01,-1.081144311236988287e+01,3.430000000000000000e+02,0.000000000000000000e+00,4.240000000000000213e+00
-2.100279880634423435e+01,-1.025562983165393227e+01,2.850000000000000000e+02,0.000000000000000000e+00,5.250000000000000000e+00
-2.152897224490511974e+01,-2.103394828761046398e+01,2.830000000000000000e+02,0.000000000000000000e+00,5.530000000000000249e+00
-1.734975359842439602e+01,-1.485312988878094309e+01,8.800000000000000000e+01,0.000000000000000000e+00,6.679999999999999716e+00
-2.345282312881408870e+01,-1.008369019204272377e+01,8.700000000000000000e+01,0.000000000000000000e+00,1.899999999999999911e+00
-1.786173215804571157e+01,-1.382014263357474171e+01,8.500000000000000000e+01,0.000000000000000000e+00,7.839999999999999858e+00
-2.455574672337240472e+01,-1.017544126369568858e+01,1.430000000000000000e+02,0.000000000000000000e+00,3.919999999999999929e+00
-2.250575714206518541e+01,-1.951203421901351476e+01,1.650000000000000000e+02,0.000000000000000000e+00,4.400000000000000355e+00
-1.986359689759370184e+01,-9.645087327887567952e+00,2.770000000000000000e+02,0.000000000000000000e+00,1.062099999999999937e+02
-2.635298107418950408e+01,-5.790643923031390194e+00,3.510000000000000000e+02,0.000000000000000000e+00,3.919999999999999929e+00
-2.323319392957352747e+01,-1.019333287399350496e+01,3.520000000000000000e+02,0.000000000000000000e+00,1.009000000000000057e+02
-2.464880786078390784e+01,-1.121896080946690510e+01,1.670000000000000000e+02,0.000000000000000000e+00,4.730000000000000426e+00
-1.925395778299657223e+01,-1.270864817386865653e+01,2.730000000000000000e+02,0.000000000000000000e+00,3.870000000000000107e+00
-2.218116102181264537e+01,-1.798448081131084209e+01,7.700000000000000000e+01,0.000000000000000000e+00,3.870000000000000107e+00
-2.277543754982449542e+01,-2.016147544039348816e+01,3.600000000000000000e+02,0.000000000000000000e+00,5.530000000000000249e+00
-2.063408189383049063e+01,-1.298322207626220681e+01,1.790000000000000000e+02,0.000000000000000000e+00,4.240000000000000213e+00
-2.210976797449634645e+01,-8.354116877359066606e+00,1.110000000000000000e+02,0.000000000000000000e+00,4.730000000000000426e+00
-1.830309137009416531e+01,-1.437045307087809931e+01,2.650000000000000000e+02,0.000000000000000000e+00,6.209999999999999964e+00
-2.402156503133917909e+01,-1.463066492533882368e+01,4.600000000000000000e+01,0.000000000000000000e+00,3.870000000000000107e+00
-2.050588118732287413e+01,-1.361861059750570213e+01,2.100000000000000000e+01,0.000000000000000000e+00,4.799999999999999822e+00
-2.176732414087758727e+01,-9.249724070524500519e+00,2.300000000000000000e+02,0.000000000000000000e+00,5.799999999999999822e+00
-2.190370418589190038e+01,-2.008405745817868393e+01,2.210000000000000000e+02,0.000000000000000000e+00,4.400000000000000355e+00
-2.361667791206793865e+01,-5.692966774975782407e+00,2.200000000000000000e+02,0.000000000000000000e+00,4.400000000000000355e+00
-2.420434639912071972e+01,-1.422235065758890826e+01,2.190000000000000000e+02,0.000000000000000000e+00,3.870000000000000107e+00
-2.362120810768657364e+01,-1.210221185352451201e+01,1.600000000000000000e+01,0.000000000000000000e+00,3.870000000000000107e+00
-2.050082080983797184e+01,-1.839904736018606712e+01,3.090000000000000000e+02,0.000000000000000000e+00,4.959999999999999964e+00
-2.293219281455932901e+01,-2.108368867514043643e+01,3.050000000000000000e+02,0.000000000000000000e+00,4.730000000000000426e+00
-2.240184744206471379e+01,-2.121665153333086451e+01,4.170000000000000000e+02,0.000000000000000000e+00,4.730000000000000426e+00
-2.365303563902860162e+01,-1.310160351662173461e+01,2.070000000000000000e+02,0.000000000000000000e+00,3.870000000000000107e+00
-2.009265794161112240e+01,-1.193040448299275447e+01,1.100000000000000000e+01,0.000000000000000000e+00,4.240000000000000213e+00
-2.133134623658044404e+01,-2.050875977215480006e+01,4.200000000000000000e+02,0.000000000000000000e+00,5.530000000000000249e+00
-2.086796762439014330e+01,-1.980669813316852768e+01,2.080000000000000000e+02,0.000000000000000000e+00,4.400000000000000355e+00
-2.063427567134600693e+01,-1.298498114372215539e+01,4.210000000000000000e+02,0.000000000000000000e+00,4.240000000000000213e+00
-2.115354534085392046e+01,-1.847904347912785994e+01,7.000000000000000000e+00,0.000000000000000000e+00,4.400000000000000355e+00
-2.089208001370058909e+01,-2.081147882454100539e+01,1.260000000000000000e+02,0.000000000000000000e+00,5.530000000000000249e+00
-2.491583957771048929e+01,-9.262379455675365136e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.370000000000000107e+00
-2.202682279711700986e+01,-1.816093032630795889e+01,2.100000000000000000e+02,0.000000000000000000e+00,3.870000000000000107e+00
-2.492798577259878101e+01,-1.237231404896292908e+01,2.110000000000000000e+02,0.000000000000000000e+00,5.709999999999999964e+00
-2.493635909236899550e+01,-1.099339162253259694e+01,4.230000000000000000e+02,0.000000000000000000e+00,4.730000000000000426e+00
-2.402911140238852994e+01,-1.280889084402796918e+01,4.240000000000000000e+02,0.000000000000000000e+00,4.400000000000000355e+00
-2.414875961352580447e+01,-1.234550143103097852e+01,1.220000000000000000e+02,0.000000000000000000e+00,5.530000000000000249e+00
-2.627696148857689451e+01,-9.920873060847320346e+00,2.400000000000000000e+01,0.000000000000000000e+00,4.400000000000000355e+00
-2.080073468539492154e+01,-1.081995058298874213e+01,3.260000000000000000e+02,0.000000000000000000e+00,4.240000000000000213e+00
-2.571332176764533628e+01,-1.172612484054417692e+01,1.210000000000000000e+02,0.000000000000000000e+00,6.360000000000000320e+00
-2.140330730777991519e+01,-1.992465160853727113e+01,2.590000000000000000e+02,0.000000000000000000e+00,4.400000000000000355e+00
